loc,title,bedroom,bathroom,parking_space,predicted_price
Kano,Penthouse,4,1,2,2209919
Adamawa,Apartment,2,2,4,1011595
Adamawa,Bungalow,2,7,2,874638
Lagos,Mansion,9,5,2,7400058
Gombe,Semi-detached duplex,5,6,1,1958599
Edo,Detached duplex,6,4,5,2771385
Niger,Flat,9,3,4,2450574
Anambra,Flat,1,1,4,1710067
Niger,Flat,1,5,1,994667
Adamawa,Bungalow,4,1,4,1417490
Benue,Detached duplex,3,6,4,2233114
Ogun,Bungalow,9,3,2,3013748
Kogi,Bungalow,9,2,4,2467878
Taraba,Flat,6,3,1,1810896
Kano,Semi-detached duplex,8,2,1,2452893
Yobe,Bungalow,9,6,4,2300680
Ogun,Townhouse,4,3,4,2504495
Kano,Townhouse,3,3,6,1781313
Benue,Mansion,9,4,3,4525614
Niger,Detached duplex,4,1,3,1739507
Yobe,Semi-detached duplex,1,2,3,957416
Zamfara,Townhouse,3,1,2,1363804
Borno,Flat,9,1,5,2280480
Anambra,Semi-detached duplex,6,2,2,2388683
Enugu,Bungalow,8,7,2,2725103
Gombe,Apartment,5,3,4,1550428
Ekiti,Bungalow,2,3,3,1256338
Delta,Semi-detached duplex,3,2,4,2039854
Osun,Mansion,1,1,2,2085600
Oyo,Penthouse,6,3,2,3228706
Zamfara,Townhouse,4,1,3,1322809
Bauchi,Flat,3,2,3,1274625
Kano,Semi-detached duplex,4,3,5,2029349
Enugu,Flat,1,1,4,1162261
Oyo,Penthouse,3,2,3,2288138
Kwara,Semi-detached duplex,2,3,6,1276430
Katsina,Detached duplex,3,2,4,1812724
Kwara,Apartment,7,6,1,2286821
Cross River,Mansion,2,2,4,2871901
Ondo,Flat,8,6,2,2936089
Niger,Cottage,2,2,3,1019590
Lagos,Flat,1,4,3,2169659
Benue,Penthouse,1,7,2,1746422
Akwa Ibom,Semi-detached duplex,8,7,4,3602293
Kwara,Detached duplex,9,1,2,3393826
Kogi,Flat,1,1,5,844806
Delta,Penthouse,1,4,3,2141946
Niger,Terrace duplex,4,1,3,1726283
Benue,Terrace duplex,4,1,1,1476566
Nasarawa,Semi-detached duplex,2,4,5,1416619
Ebonyi,Semi-detached duplex,4,1,2,1319793
Kano,Bungalow,2,2,6,1355424
Plateau,Penthouse,4,1,3,2066780
Kwara,Bungalow,2,7,4,1518582
Kano,Apartment,2,1,3,1053178
Adamawa,Semi-detached duplex,3,5,2,1710548
Ondo,Detached duplex,3,4,1,1884040
Taraba,Flat,3,6,6,1571582
Kwara,Apartment,1,1,3,709435
Katsina,Penthouse,5,1,2,2244244
Kogi,Detached duplex,1,1,1,1148135
Ondo,Bungalow,7,7,5,2731495
Akwa Ibom,Detached duplex,3,1,2,2372947
Bauchi,Flat,3,5,5,1398559
Kogi,Penthouse,8,4,5,3206254
Borno,Townhouse,5,6,6,2035577
Kaduna,Detached duplex,3,7,6,2077703
Yobe,Mansion,1,4,6,1915039
Plateau,Terrace duplex,2,5,3,1385709
Bauchi,Mansion,5,6,5,3405306
Adamawa,Mansion,7,5,5,3780384
Kwara,Townhouse,6,6,3,2397080
Adamawa,Mansion,9,2,3,4690537
Ekiti,Penthouse,6,7,2,2846812
Oyo,Flat,9,4,5,3136295
Osun,Flat,4,4,2,1785891
Cross River,Flat,9,3,4,3436647
Niger,Detached duplex,7,6,6,2727689
Nasarawa,Bungalow,5,3,6,1912704
Nasarawa,Detached duplex,4,5,6,2116918
Zamfara,Terrace duplex,4,2,1,1311453
Plateau,Apartment,4,2,3,1179733
Anambra,Detached duplex,6,2,6,2968495
Ondo,Apartment,9,6,3,2813531
Sokoto,Semi-detached duplex,2,1,2,936212
Delta,Detached duplex,1,1,2,1508205
Anambra,Semi-detached duplex,3,1,5,1847913
Oyo,Penthouse,5,3,1,2801926
Kebbi,Mansion,4,4,4,2326910
Adamawa,Bungalow,3,3,1,1217140
Kaduna,Semi-detached duplex,2,1,2,1138403
Kebbi,Bungalow,1,2,2,531436
Enugu,Flat,3,3,4,1476310
Kebbi,Penthouse,7,7,5,2783865
Kaduna,Semi-detached duplex,6,2,2,2033287
Delta,Townhouse,1,2,2,1707671
Ondo,Terrace duplex,9,1,3,2890387
Nasarawa,Mansion,1,3,5,2488546
Enugu,Penthouse,6,6,3,3204963
Sokoto,Bungalow,5,1,2,1300906
Katsina,Townhouse,5,2,1,1751504
Kwara,Penthouse,3,2,2,1897746
Ebonyi,Penthouse,3,2,3,1753605
Oyo,Detached duplex,1,2,5,1765788
Niger,Terrace duplex,3,3,6,1512034
Lagos,Flat,1,1,3,3127022
Ebonyi,Semi-detached duplex,8,4,2,2539060
Zamfara,Detached duplex,1,4,5,1291485
Kaduna,Apartment,1,2,4,821144
Kano,Detached duplex,5,2,2,2111707
Bayelsa,Mansion,8,3,2,5831932
Akwa Ibom,Apartment,5,1,4,2420414
Bauchi,Bungalow,8,2,6,2364671
Borno,Flat,8,5,1,2356660
Anambra,Flat,4,5,3,1917658
Benue,Townhouse,2,4,2,1380811
Adamawa,Flat,3,1,3,1164144
Kaduna,Bungalow,1,6,6,1308888
Kebbi,Townhouse,4,1,4,1183503
Kano,Flat,2,2,4,1356689
Kebbi,Mansion,7,1,4,2337849
Anambra,Penthouse,1,1,3,1663996
Enugu,Bungalow,2,1,4,1372124
Borno,Semi-detached duplex,1,7,5,1107665
Zamfara,Apartment,4,1,5,1117124
Taraba,Townhouse,3,1,2,1474261
Kano,Detached duplex,9,6,5,3393396
Kogi,Bungalow,5,3,5,1829048
Benue,Flat,5,1,2,1507261
Kano,Mansion,1,2,2,2230428
Ondo,Detached duplex,6,3,5,3083233
Ogun,Terrace duplex,1,1,3,1332815
Ogun,Detached duplex,4,2,2,2287564
Jigawa,Detached duplex,1,5,6,1191171
Enugu,Townhouse,9,6,2,3304389
Ebonyi,Apartment,9,6,1,2577738
Ekiti,Apartment,7,3,3,2008182
Abia,Semi-detached duplex,1,2,4,982545
Abia,Penthouse,4,2,6,1867766
Akwa Ibom,Penthouse,9,2,6,4346536
Anambra,Cottage,2,1,1,1152091
Kogi,Mansion,6,3,6,2751017
Lagos,Bungalow,1,2,6,1638920
Taraba,Mansion,5,1,1,2568612
Gombe,Terrace duplex,4,3,5,2093962
Cross River,Semi-detached duplex,2,3,5,1657771
Oyo,Flat,5,1,1,1688644
Jigawa,Terrace duplex,9,6,3,2283543
Oyo,Terrace duplex,4,2,5,2176389
Borno,Detached duplex,9,6,1,3624331
Plateau,Penthouse,4,2,3,2130558
Benue,Apartment,4,1,3,1253075
Anambra,Terrace duplex,3,4,3,1752851
Taraba,Mansion,1,5,1,1738070
Kano,Townhouse,3,1,2,1491646
Osun,Mansion,6,7,1,3894710
Adamawa,Townhouse,6,1,6,2453289
Ekiti,Penthouse,3,1,4,1944868
Rivers,Cottage,1,1,1,1464260
